Sample ID,"1,3-15N2-Uric acid",1-Methylhistidine,1-Methylnicotinamide,1-Methylxanthine,1-Methylxanthosine,"13C10,15N5-Adenosine",13C3-Thiamine,13C5-Hypoxanthine,13C5-Xanthosine,15N4-Inosine,2-Aminobenzoic acid,"3-Hydroxy-N6,N6,N6-Trimethyllysine",3-Hydroxybutyric acid,3-Hydroxykynurenine,3-Hydroxytyrosol,3-Methoxytyrosine,3-Methylxanthine,3-Methylxanthosine,4-Hydroxyproline,4-Trimethylammoniobutanal,5''-Methylthioadenosine,5-Glutamylalanine,5-Hydroxyindoleacetic acid,5-Hydroxytryptophan,6-Aminouracil,6C13-Phenylalanine,6C13-Tyrosine,7-Methylguanine,7-Methylguanosine,7-Methylxanthine,7-Methylxanthosine,7-alpha-Hydroxy-3-oxo-4-cholestenoate,8-Hydroxy-deoxyguanosine,8-Hydroxyguanosine,"8-Oxo-deoxyguanosine-13C,15N2",9-Hexadecenoylcarnitine,AICA-riboside,Acetylcarnitine,Acetylcarnitine-d3,Adenine,Adenosine,Adenosine diphosphate ribose,Adenosylcobalamin,Alanine,Alanine-d4,Arabitol,Arginine,Arginine-d4C13,Ascorbate,Asparagine,Aspartic acid,Aspartic acid-d3,Asymmetric dimethylarginine,Betaine,Betaine-d11,Bilirubin,Butyrobetaine,Butyrylcarnitine,Butyrylcarnitine-d3,Cadaverine,Caffeine,Capsaicin,Carnitine,Carnitine-d9,Choline,Citrulline,Citrulline-d2,Cotinine,Creatine,Creatinine,Creatinine-d3,Curcumin,Cyanocobalamin,Cystathionine,Cysteine,Cysteinylglycine,Cystine,Cytosine,DNL201,Decanoylcarnitine,Demethoxycurcumin,Deoxyadenosine,Deoxyguanosine,Deoxyinosine,Dimethylethanolamine,Dimethylglycine,Dodecanoylcarnitine,Dopa,Dopamine,Dopamine 3-o-sulfate,Dopamine 4-o-sulfate,Epinephrine,Ergothioneine,Ethanolamine,Formylanthranilic acid,Gamma-Glutamylcysteine,Glucosamine,Glucose,Glutamic acid,Glutamic acid-d3,Glutamine,Glutathione,Glutathione disulfide,"Glutathione-(glycine-13C2,15N)",Glycerophosphocholine,Glycine,Guanine,Guanosine,Hexanoylcarnitine,Histamine,Histidine,Homocysteine,Homoserine,Hydroxybutyrylcarnitine,Hydroxyhexanoylcarnitine,Hydroxyisovaleroyl carnitine,Hydroxypropionylcarnitine,Hypoxanthine,Imidazoleacetic acid,Indole,Inosine,Isovalerylcarnitine,Isovalerylcarnitine-d9,Kynurenic acid,Kynurenine,LPC(18:1(d7)),Leucine,Leucine-d3,Linoleyl carnitine,Lysine,Mannitol,Mannose,Melatonin,Methionine,Methionine S-oxide,Methionine-d3,Methylcobalamin,Myristoylcarnitine,Myristoylcarnitine-d9,"N,N''-Bis(gamma-glutamyl)cystine",N-Acetylalanine,N-Acetylaspartic acid,N-Acetylcysteine,N-Acetylglutamic acid,N-Acetylneuraminic acid,N-Acetylputrescine,N-Acetylserine,N-Alpha-acetyllysine,N1-Acetylspermidine,N1-Acetylspermidine-d6,N1-Acetylspermine,N1-N12-Diacetylspermine,N1-N8-Diacetylspermidine,N1-N8-Diacetylspermidine-d6,N15C13-Glycine,"N6,N6,N6-Trimethyllysine",NAD,Niacinamide,Niacinamide-d4,Nicotinamide mononucleotide,Nicotinamide riboside,Nicotinic acid,Nitrotyrosine,Nonanoylcarnitine,Norepinephrine,Octanoylcarnitine,Octanoylcarnitine-d3,Ornithine,Ornithine-d2,Palmitoylcarnitine,Palmitoylcarnitine-d3,Paraxanthine,Phenylalanine,Piperanine,Piperine,Pipernonaline,Piperyline,Proline,Propionylcarnitine,Propionylcartinine-d3,Putrescine,Pyridoxamine,Pyroglutamic acid,S-Adenosylhomocysteine,S-Adenosylmethionine,Sarcosine,Serine,Serotonin,Spermidine,Spermine,Stearoylcarnitine,Sucrose,Taurine,Tetrahydrocurcumin,Theobromine,Theophylline,Thiamine,Threonine,Trigonelline,Trimethylamine-N-oxide,Trimethylamine-d9 N-oxide,Tryptophan,Tyrosine,Uracil,Ureidopropionic acid,Uric acid,Uridine,Valerobetaine,Valerobetaine-d9,Valine,Valine-d8,Xanthine,Xanthosine,alpha-Tocopherol,cADPRibose,gamma-Aminobutyric acid
HSA-000028172,N.D.,0.003,0.211,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.004,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.014,0.001,0.295,N.D.,0.001,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.007,N.D.,0.02,N.D.,0.04,N.D.,0.444,0.044,N.D.,N.D.,0.06,N.D.,0.485,0.094,N.D.,N.D.,0.723,N.D.,N.D.,4.218,1.062,N.D.,N.D.,0.065,0.027,N.D.,N.D.,N.D.,N.D.,0.054,N.D.,0.142,0.013,N.D.,N.D.,0.594,0.031,N.D.,N.D.,N.D.,N.D.,N.D.,0.02,0,N.D.,N.D.,N.D.,N.D.,0.031,N.D.,N.D.,0.01,N.D.,N.D.,0.006,0.009,N.D.,N.D.,0.01,0.037,0.011,N.D.,N.D.,N.D.,0.025,7.344,N.D.,7.939,6.141,N.D.,N.D.,118.981,0.117,0.005,N.D.,0.002,N.D.,0.099,0.358,6.297,0.019,0.011,0.06,N.D.,0.101,0.146,N.D.,0.001,0.228,N.D.,0,0.003,N.D.,0.165,N.D.,0.004,0.011,N.D.,0.012,0.001,0.048,1.31,N.D.,N.D.,0,N.D.,N.D.,N.D.,7.052,N.D.,N.D.,N.D.,0,0.001,N.D.,2.75,N.D.,N.D.,0.391,0.218,N.D.,N.D.,0.005,N.D.,0.022,N.D.,N.D.,0.008,0,N.D.,N.D.,N.D.,0,N.D.,0.021,N.D.,0.051,N.D.,N.D.,0.571,N.D.,N.D.,N.D.,N.D.,0.278,0.402,N.D.,N.D.,0.927,0.456,0.026,0.129,0.051,2.513,N.D.,N.D.,N.D.,0,0.027,5.754,N.D.,N.D.,N.D.,0.308,3.071,N.D.,0.012,N.D.,0.045,0.008,N.D.,0.002,0.112,0.003,0.028,N.D.,0.005,N.D.,0.003,0.006,N.D.,0.006,0
HSA-000028173,N.D.,0.004,0.265,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.004,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.014,6.94E-05,0.423,N.D.,0,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.009,N.D.,0.025,N.D.,0.05,N.D.,0.418,0.069,N.D.,N.D.,0.066,N.D.,0.418,0.109,N.D.,N.D.,0.784,N.D.,N.D.,4.846,1.07,N.D.,N.D.,0.054,0.03,N.D.,N.D.,N.D.,N.D.,0.056,N.D.,0.122,0.012,N.D.,N.D.,0.544,0.035,N.D.,N.D.,N.D.,N.D.,N.D.,0.024,0,N.D.,N.D.,N.D.,N.D.,0.026,N.D.,N.D.,0.01,N.D.,N.D.,0.006,0.009,N.D.,N.D.,0.011,0.027,0.02,N.D.,N.D.,N.D.,0.023,6.483,N.D.,9.401,9.401,N.D.,N.D.,133.547,0.128,0.004,N.D.,0.002,N.D.,0.102,0.675,7.121,0.023,0.011,0.062,N.D.,0.073,0.073,N.D.,0.001,0.24,N.D.,0,0.003,N.D.,0.185,N.D.,0.004,0.011,N.D.,0.012,0.002,0.047,1.2,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,8.247,N.D.,N.D.,N.D.,0,0.001,N.D.,3.442,N.D.,N.D.,0.544,0.216,N.D.,N.D.,0.005,N.D.,0.028,N.D.,N.D.,0.011,0,N.D.,N.D.,N.D.,0.001,N.D.,0.023,N.D.,0.111,N.D.,N.D.,0.621,N.D.,N.D.,N.D.,N.D.,0.297,0.407,N.D.,N.D.,1.008,0.547,0.029,0.16,0.054,2.334,N.D.,N.D.,N.D.,0.001,0.308,2.975,N.D.,N.D.,N.D.,0.309,3.617,N.D.,0.011,N.D.,0.046,0.008,N.D.,0.003,0.064,0.002,0.03,N.D.,0.003,N.D.,0.003,0.006,N.D.,0.007,0
HSA-000028175,N.D.,0.004,0.159,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.016,0.004,0.362,N.D.,0.001,0.003,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.007,N.D.,0.038,N.D.,0.054,N.D.,0.914,0.176,N.D.,N.D.,0.111,N.D.,0.812,0.359,N.D.,N.D.,1.259,N.D.,N.D.,7.318,1.184,N.D.,N.D.,0.078,0.021,N.D.,N.D.,N.D.,N.D.,0.057,N.D.,0.171,0.01,N.D.,N.D.,0.912,0.063,N.D.,N.D.,N.D.,N.D.,N.D.,0.022,0.001,N.D.,N.D.,N.D.,N.D.,0.082,N.D.,N.D.,0.031,N.D.,N.D.,0.001,0.031,N.D.,N.D.,0.015,0.032,0.007,N.D.,N.D.,N.D.,0.033,16.337,N.D.,11.258,3.893,N.D.,N.D.,64.945,0.176,0.013,N.D.,0.002,N.D.,0.121,1.917,10.032,0.023,0.008,0.037,N.D.,0.014,0.023,N.D.,0.005,0.066,N.D.,0.001,0.003,N.D.,0.293,N.D.,0.003,0.017,N.D.,0.016,0.002,0.081,1.699,N.D.,N.D.,0,N.D.,N.D.,N.D.,8.238,N.D.,N.D.,N.D.,0,0.003,N.D.,2.776,N.D.,N.D.,0.785,0.16,N.D.,N.D.,0.009,N.D.,0.033,N.D.,N.D.,0.005,0,N.D.,N.D.,N.D.,0.001,N.D.,0.023,N.D.,0.043,N.D.,N.D.,0.826,N.D.,N.D.,N.D.,N.D.,0.368,0.22,N.D.,N.D.,0.917,0.853,0.026,0.123,0.091,3.734,N.D.,N.D.,N.D.,0,0.025,1.077,N.D.,N.D.,N.D.,0.293,5.105,N.D.,0.011,N.D.,0.027,0.01,N.D.,0.007,0.069,0.004,0.032,N.D.,0.002,N.D.,0.005,0.017,N.D.,0.009,0.001
HSA-000028176,N.D.,0.004,0.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.013,0.003,0.757,N.D.,0.001,0.004,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.012,N.D.,0.053,N.D.,0.046,N.D.,0.546,0.091,N.D.,N.D.,0.081,N.D.,0.681,0.358,N.D.,N.D.,0.876,N.D.,N.D.,5.329,0.859,N.D.,N.D.,0.054,0.023,N.D.,N.D.,N.D.,N.D.,0.046,N.D.,0.138,0.01,N.D.,N.D.,0.741,0.082,N.D.,N.D.,N.D.,N.D.,N.D.,0.021,0.002,N.D.,N.D.,N.D.,N.D.,0.008,N.D.,N.D.,0.035,N.D.,N.D.,0.001,0.034,N.D.,N.D.,0.014,0.028,0.009,N.D.,N.D.,N.D.,0.04,11.245,N.D.,10.139,0.492,N.D.,N.D.,63.6,0.156,0.011,N.D.,0.002,N.D.,0.119,1.675,9.164,0.021,0.008,0.029,N.D.,0.019,0.033,N.D.,0.003,0.05,N.D.,0.001,0.003,N.D.,0.239,N.D.,0.014,0.015,N.D.,0.015,0.003,0.064,2.186,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,5.157,N.D.,N.D.,N.D.,0.001,0.002,N.D.,3.192,N.D.,N.D.,0.946,0.169,N.D.,N.D.,0.01,N.D.,0.035,N.D.,N.D.,0.006,0,N.D.,N.D.,N.D.,0.001,N.D.,0.02,N.D.,0.119,N.D.,N.D.,0.755,N.D.,N.D.,N.D.,N.D.,0.377,0.182,N.D.,N.D.,1.174,0.847,0.022,0.157,0.074,3.12,N.D.,N.D.,N.D.,0.001,0.528,1.288,N.D.,N.D.,N.D.,0.318,4.331,N.D.,0.01,N.D.,0.035,0.009,N.D.,0.007,0.098,0.002,0.027,N.D.,0.001,N.D.,0.007,0.021,N.D.,0.007,0.001
HSA-000028178,N.D.,0.004,0.377,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.004,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.015,0.004,0.311,N.D.,0.001,0.003,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.009,N.D.,0.02,N.D.,0.065,N.D.,1.145,0.209,N.D.,N.D.,0.101,N.D.,0.641,0.386,N.D.,N.D.,0.952,N.D.,N.D.,6.609,0.991,N.D.,N.D.,0.077,0.025,N.D.,N.D.,N.D.,N.D.,0.059,N.D.,0.195,0.009,N.D.,N.D.,0.588,0.05,N.D.,N.D.,N.D.,N.D.,N.D.,0.02,0.001,N.D.,N.D.,N.D.,N.D.,0.054,N.D.,N.D.,0.02,N.D.,N.D.,0.003,0.02,N.D.,N.D.,0.014,0.034,0.011,N.D.,N.D.,N.D.,0.031,13.542,N.D.,9.254,4.142,N.D.,N.D.,131.91,0.176,0.009,N.D.,0.002,1.808,0.136,1.815,8.245,0.028,0.013,0.08,N.D.,0.048,0.028,N.D.,0.005,0.221,N.D.,0.001,0.001,N.D.,0.267,N.D.,0.004,0.02,N.D.,0.017,0.002,0.08,1.666,N.D.,N.D.,0,N.D.,N.D.,N.D.,9.804,N.D.,N.D.,N.D.,0,0.002,N.D.,1.939,N.D.,N.D.,0.245,0.101,N.D.,N.D.,0.009,N.D.,0.029,N.D.,N.D.,0.005,0,N.D.,N.D.,N.D.,0.001,N.D.,0.02,N.D.,0.066,N.D.,N.D.,0.757,N.D.,N.D.,N.D.,N.D.,0.389,0.314,N.D.,N.D.,0.764,0.872,0.028,0.167,0.087,3.376,N.D.,N.D.,N.D.,0,0.027,1.155,N.D.,N.D.,N.D.,0.44,4.177,N.D.,0.01,N.D.,0.031,0.01,N.D.,0.003,0.093,0.006,0.04,N.D.,0.002,N.D.,0.004,0.011,N.D.,0.01,0
HSA-000028179,N.D.,0.006,0.624,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.007,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.023,0.004,1.361,N.D.,0.001,0.003,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.011,N.D.,0.026,N.D.,0.081,N.D.,0.746,0.078,N.D.,N.D.,0.128,N.D.,0.644,0.357,N.D.,N.D.,1.026,N.D.,N.D.,6.509,0.99,N.D.,N.D.,0.08,0.032,N.D.,N.D.,N.D.,N.D.,0.064,N.D.,0.178,0.123,N.D.,N.D.,0.463,0.086,N.D.,N.D.,N.D.,N.D.,N.D.,0.024,0.001,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.033,N.D.,N.D.,0.003,0.028,N.D.,N.D.,0.017,0.036,0.018,N.D.,N.D.,N.D.,0.048,13.339,N.D.,11.265,0.408,N.D.,N.D.,149.681,0.204,0,N.D.,0.004,3.553,0.161,1.725,10.186,0.031,0.013,0.096,N.D.,0.041,0.028,N.D.,0.002,0.271,N.D.,0.001,0.001,N.D.,0.26,N.D.,0.007,0.017,N.D.,0.022,0.004,0.086,2.429,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,10.047,N.D.,N.D.,N.D.,N.D.,0.002,N.D.,2.343,N.D.,N.D.,0.246,0.141,N.D.,N.D.,0.009,N.D.,0.082,N.D.,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,0.001,N.D.,0.028,N.D.,0.131,N.D.,N.D.,0.86,N.D.,N.D.,N.D.,N.D.,0.475,0.346,N.D.,N.D.,0.974,0.652,0.07,0.204,0.108,7.227,N.D.,N.D.,N.D.,0.001,0.479,1.307,N.D.,N.D.,N.D.,0.318,5.568,N.D.,0.011,N.D.,0.036,0.01,N.D.,0.005,N.D.,0.002,0.047,N.D.,0.002,N.D.,0.007,0.016,N.D.,0.011,0.001
HSA-000028181,N.D.,0.003,0.547,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.007,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.012,0.004,0.323,N.D.,0.001,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.007,N.D.,0.024,N.D.,0.069,N.D.,1.908,0.231,N.D.,N.D.,0.1,N.D.,0.615,0.344,N.D.,N.D.,0.97,N.D.,N.D.,5.546,1.508,N.D.,N.D.,0.121,0.031,N.D.,N.D.,N.D.,N.D.,0.053,N.D.,0.164,0.012,N.D.,N.D.,0.704,0.031,N.D.,N.D.,N.D.,N.D.,N.D.,0.019,0,N.D.,N.D.,N.D.,N.D.,0.164,N.D.,N.D.,0.014,N.D.,N.D.,0.01,0.013,N.D.,N.D.,0.012,0.02,0.017,N.D.,N.D.,N.D.,0.019,7.954,N.D.,7.673,3.398,N.D.,N.D.,80.007,0.143,0.01,N.D.,0.002,N.D.,0.102,0.973,6.732,0.037,0.012,0.086,N.D.,0.061,0.051,N.D.,0.003,0.249,N.D.,0,0.001,N.D.,0.245,N.D.,0.003,0.016,N.D.,0.009,0.002,0.07,1.344,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,11.738,N.D.,N.D.,N.D.,0,0.002,N.D.,9.739,N.D.,N.D.,1.367,0.311,N.D.,N.D.,0.008,N.D.,0.025,N.D.,N.D.,0.011,0.001,N.D.,N.D.,N.D.,0,N.D.,0.015,N.D.,0.076,N.D.,N.D.,0.66,N.D.,N.D.,N.D.,N.D.,0.251,0.412,N.D.,N.D.,0.792,0.454,0.024,0.164,0.076,3.439,N.D.,N.D.,N.D.,0.001,0.019,2.098,N.D.,N.D.,N.D.,0.276,3.257,N.D.,0.01,N.D.,0.044,0.008,N.D.,0.006,0.056,0.005,0.036,N.D.,0.002,N.D.,0.003,0.008,N.D.,0.01,0
HSA-000028182,N.D.,0.003,0.408,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.008,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.013,0.004,0.305,N.D.,0.001,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.008,N.D.,0.024,N.D.,0.057,N.D.,1.066,0.159,N.D.,N.D.,0.067,N.D.,0.599,0.318,N.D.,N.D.,0.68,N.D.,N.D.,5.183,1.315,N.D.,N.D.,0.062,0.027,N.D.,N.D.,N.D.,N.D.,0.041,N.D.,0.13,0.007,N.D.,N.D.,0.534,0.03,N.D.,N.D.,N.D.,N.D.,N.D.,0.021,0.001,N.D.,N.D.,N.D.,N.D.,0.004,N.D.,N.D.,0.017,N.D.,N.D.,0.008,0.014,N.D.,N.D.,0.011,0.018,0.039,N.D.,N.D.,N.D.,0.029,5.885,N.D.,7.684,3.062,N.D.,N.D.,100.783,0.145,0.004,N.D.,0.002,N.D.,0.106,1.223,7.147,0.029,0.008,0.056,N.D.,0.045,0.038,N.D.,0.001,0.177,N.D.,0,0.001,N.D.,0.19,N.D.,0.005,0.013,N.D.,0.012,0.002,0.053,1.612,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,6.71,N.D.,N.D.,N.D.,0,0.001,N.D.,5.405,N.D.,N.D.,0.69,0.254,N.D.,N.D.,0.006,N.D.,0.019,N.D.,N.D.,0.007,0,N.D.,N.D.,N.D.,0,N.D.,0.017,N.D.,0.137,N.D.,N.D.,0.615,N.D.,N.D.,N.D.,N.D.,0.266,0.345,N.D.,N.D.,0.957,0.479,0.025,0.15,0.057,2.521,N.D.,N.D.,N.D.,0.002,0.362,1.75,N.D.,N.D.,N.D.,0.244,3.425,N.D.,0.008,N.D.,0.035,0.007,N.D.,0.002,0.073,0.002,0.03,N.D.,0.002,N.D.,0.003,0.008,N.D.,0.008,0
HSA-000028184,N.D.,0.004,0.436,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.006,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.014,0.003,0.455,N.D.,0.001,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.01,N.D.,0.019,N.D.,0.058,N.D.,1.398,0.185,N.D.,N.D.,0.082,N.D.,0.571,0.338,N.D.,N.D.,0.955,N.D.,N.D.,5.298,1.391,N.D.,N.D.,0.083,0.032,N.D.,N.D.,N.D.,N.D.,0.063,N.D.,0.171,0.007,N.D.,N.D.,0.613,0.039,N.D.,N.D.,N.D.,N.D.,N.D.,0.021,0,N.D.,N.D.,N.D.,N.D.,0.04,N.D.,N.D.,0.016,N.D.,N.D.,0.008,0.015,N.D.,N.D.,0.013,0.026,0.015,N.D.,N.D.,N.D.,0.026,8.739,N.D.,9.124,5.511,N.D.,N.D.,94.016,0.128,0.006,N.D.,0.002,N.D.,0.114,0.983,7.216,0.026,0.014,0.082,N.D.,0.059,0.054,N.D.,0.001,0.273,N.D.,0,0.001,N.D.,0.22,N.D.,0.002,0.014,N.D.,0.012,0.002,0.066,1.592,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,10.248,N.D.,N.D.,N.D.,0,0.001,N.D.,8.216,N.D.,N.D.,1.001,0.251,N.D.,N.D.,0.007,N.D.,0.023,N.D.,N.D.,0.007,0,N.D.,N.D.,N.D.,0.001,N.D.,0.015,N.D.,0.063,N.D.,N.D.,0.709,N.D.,N.D.,N.D.,N.D.,0.279,0.4,N.D.,N.D.,0.863,0.485,0.041,0.179,0.072,2.954,N.D.,N.D.,N.D.,0,0.028,2.03,N.D.,N.D.,N.D.,0.344,3.796,N.D.,0.01,N.D.,0.043,0.008,N.D.,0.004,0.055,0.004,0.033,N.D.,0.002,N.D.,0.003,0.008,N.D.,0.008,0
HSA-000028185,N.D.,0.004,0.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.007,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.017,0.004,0.485,N.D.,0.001,0.003,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.012,N.D.,0.025,N.D.,0.066,N.D.,1.324,0.232,N.D.,N.D.,0.094,N.D.,0.475,0.356,N.D.,N.D.,0.889,N.D.,N.D.,5.707,1.405,N.D.,N.D.,0.084,0.037,N.D.,N.D.,N.D.,N.D.,0.056,N.D.,0.141,0.01,N.D.,N.D.,0.615,0.044,N.D.,N.D.,N.D.,N.D.,N.D.,0.021,0.001,N.D.,N.D.,N.D.,N.D.,0.02,N.D.,N.D.,0.02,N.D.,N.D.,0.006,0.013,N.D.,N.D.,0.014,0.027,0.03,N.D.,N.D.,N.D.,0.022,7.922,N.D.,9.157,4.465,N.D.,N.D.,95.848,0.122,0.005,N.D.,0.003,N.D.,0.13,0.64,7.686,0.034,0.015,0.092,N.D.,0.047,0.087,N.D.,0.002,0.302,N.D.,0,0.002,N.D.,0.245,N.D.,0.003,0.016,N.D.,0.01,0.003,0.072,1.444,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,9.018,N.D.,N.D.,N.D.,0,0.002,N.D.,8.053,N.D.,N.D.,0.883,0.272,N.D.,N.D.,0.007,N.D.,0.021,N.D.,N.D.,0.006,0,N.D.,N.D.,N.D.,0.001,N.D.,0.02,N.D.,0.147,N.D.,N.D.,0.768,N.D.,N.D.,N.D.,N.D.,0.294,0.429,N.D.,N.D.,0.855,0.537,0.041,0.206,0.077,3.024,N.D.,N.D.,N.D.,0.001,0.295,3.04,N.D.,N.D.,N.D.,0.256,4.105,N.D.,0.009,N.D.,0.05,0.01,N.D.,0.007,0.078,0.002,0.037,N.D.,0.004,N.D.,0.004,0.007,N.D.,0.011,0
HSA-000028400,N.D.,0.005,0.364,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.004,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.018,0.002,0.412,N.D.,0.001,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.017,N.D.,0.021,N.D.,0.051,N.D.,0.449,0.073,N.D.,N.D.,0.077,N.D.,0.519,0.17,N.D.,N.D.,0.957,N.D.,N.D.,5.991,1.07,N.D.,N.D.,0.052,0.027,N.D.,N.D.,N.D.,N.D.,0.073,N.D.,0.161,0.013,N.D.,N.D.,0.607,0.074,N.D.,N.D.,N.D.,N.D.,N.D.,0.023,0.001,N.D.,N.D.,N.D.,N.D.,0.028,N.D.,N.D.,0.029,N.D.,N.D.,0.005,0.024,N.D.,N.D.,0.014,0.035,0.007,N.D.,N.D.,N.D.,0.04,12.52,N.D.,11.168,7.685,N.D.,N.D.,148.715,0.146,0.008,N.D.,0.002,1.089,0.123,1.058,8.827,0.022,0.011,0.055,N.D.,0.067,0.052,N.D.,0.002,0.186,N.D.,0.002,0.002,N.D.,0.24,N.D.,0.004,0.012,N.D.,0.017,0.003,0.063,1.69,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,7.928,N.D.,N.D.,N.D.,0,0.002,N.D.,2.402,N.D.,N.D.,0.392,0.159,N.D.,N.D.,0.007,N.D.,0.027,N.D.,N.D.,0.007,0,N.D.,N.D.,N.D.,0.001,N.D.,0.021,N.D.,0.066,N.D.,N.D.,0.741,N.D.,N.D.,N.D.,N.D.,0.35,0.321,N.D.,N.D.,1.038,0.826,0.036,0.131,0.069,3.009,N.D.,N.D.,N.D.,0.001,0.19,1.841,N.D.,N.D.,N.D.,0.353,4.437,N.D.,0.019,N.D.,0.046,0.009,N.D.,0.004,0.075,0.001,0.034,N.D.,0.002,N.D.,0.006,0.014,N.D.,0.007,0.001
HSA-000028401,N.D.,0.004,0.369,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.004,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.018,0.002,0.568,N.D.,0.001,0.003,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.017,N.D.,0.024,N.D.,0.053,N.D.,0.417,0.069,N.D.,N.D.,0.083,N.D.,0.533,0.176,N.D.,N.D.,0.914,N.D.,N.D.,5.726,1.113,N.D.,N.D.,0.064,0.027,N.D.,N.D.,N.D.,N.D.,0.071,N.D.,0.161,0.015,N.D.,N.D.,0.582,0.076,N.D.,N.D.,N.D.,N.D.,N.D.,0.02,0.001,N.D.,N.D.,N.D.,N.D.,0.028,N.D.,N.D.,0.032,N.D.,N.D.,0.003,0.024,N.D.,N.D.,0.014,0.033,0.007,N.D.,N.D.,N.D.,0.032,12.238,N.D.,10.279,7.296,N.D.,N.D.,142.436,0.14,0.009,N.D.,0.002,0.998,0.115,1.061,8.989,0.023,0.011,0.057,N.D.,0.058,0.055,N.D.,0.003,0.189,N.D.,0.002,0.003,N.D.,0.239,N.D.,0.004,0.014,N.D.,0.016,0.003,0.062,1.752,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,7.725,N.D.,N.D.,N.D.,0,0.002,N.D.,2.547,N.D.,N.D.,0.416,0.181,N.D.,N.D.,0.008,N.D.,0.028,N.D.,N.D.,0.008,0,N.D.,N.D.,N.D.,0.001,N.D.,0.021,N.D.,0.068,N.D.,N.D.,0.754,N.D.,N.D.,N.D.,N.D.,0.381,0.327,N.D.,N.D.,0.965,0.747,0.063,0.175,0.073,3.164,N.D.,N.D.,N.D.,0.001,0.151,2.019,N.D.,N.D.,N.D.,0.361,4.155,N.D.,0.02,N.D.,0.045,0.009,N.D.,0.006,0.099,0.003,0.033,N.D.,0.003,N.D.,0.006,0.014,N.D.,0.01,0.001
