Sample ID,Subject ID,Factors,Additional sample data
PN03971,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '4', 'Clinical_Parameters': '125', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '36', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03977,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '2', 'Clinical_Parameters': '140', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '36', 'Race': 'C', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03930,-,"{'Diagnosis': 'Control', 'Stage': '-'}","{'Sub-group': '1', 'Clinical_Parameters': '13', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '-', 'Age (now)': '2014', 'Age (BOD-OD)': '35', 'Race': 'L', 'Stage OB': 'NA', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00465,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '71', 'ER': '1', 'PR': '1', 'HER-2 neu': '1', 'YOB': '1962', 'Age (now)': '52', 'Age (BOD-OD)': '46', 'Race': 'White', 'Stage OB': '2', 'BMI': '24.4', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00936,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '146', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1963', 'Age (now)': '51', 'Age (BOD-OD)': '46', 'Race': 'White', 'Stage OB': '2', 'BMI': '30.1', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN01512,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '181', 'ER': '1', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1963', 'Age (now)': '51', 'Age (BOD-OD)': '46', 'Race': 'White', 'Stage OB': '3c', 'BMI': '30.1', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN01939,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '196', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1964', 'Age (now)': '50', 'Age (BOD-OD)': '46', 'Race': 'White', 'Stage OB': '3a', 'BMI': '27.5', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN02018,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '205', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1963', 'Age (now)': '51', 'Age (BOD-OD)': '47', 'Race': 'White', 'Stage OB': '2a', 'BMI': '31.6', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00502,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '81', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1961', 'Age (now)': '53', 'Age (BOD-OD)': '47', 'Race': 'White', 'Stage OB': '3', 'BMI': '30', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00035,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '21', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1959', 'Age (now)': '55', 'Age (BOD-OD)': '47', 'Race': 'White', 'Stage OB': '3', 'BMI': '45.3', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00037,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '25', 'ER': '1', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1959', 'Age (now)': '55', 'Age (BOD-OD)': '47', 'Race': 'White', 'Stage OB': '3', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00525,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '95', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1960', 'Age (now)': '54', 'Age (BOD-OD)': '48', 'Race': 'Asian', 'Stage OB': '2', 'BMI': '18.9', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN02008,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '204', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1962', 'Age (now)': '52', 'Age (BOD-OD)': '48', 'Race': 'White', 'Stage OB': '2b', 'BMI': '23.6', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00416,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '49', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1960', 'Age (now)': '54', 'Age (BOD-OD)': '48', 'Race': 'White', 'Stage OB': '3', 'BMI': '35', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN01679,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '186', 'ER': '1', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1961', 'Age (now)': '53', 'Age (BOD-OD)': '48', 'Race': 'White', 'Stage OB': '3b', 'BMI': '29.2', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN01342,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '172', 'ER': '1', 'PR': '1', 'HER-2 neu': '1', 'YOB': '1960', 'Age (now)': '54', 'Age (BOD-OD)': '49', 'Race': 'Black', 'Stage OB': '2', 'BMI': '36', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00358,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '43', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1958', 'Age (now)': '56', 'Age (BOD-OD)': '49', 'Race': 'White', 'Stage OB': '2', 'BMI': '31.9', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00443,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '66', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1959', 'Age (now)': '55', 'Age (BOD-OD)': '49', 'Race': 'White', 'Stage OB': '2', 'BMI': '16.1', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00468,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '72', 'ER': '1', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1959', 'Age (now)': '55', 'Age (BOD-OD)': '49', 'Race': 'White', 'Stage OB': '2', 'BMI': '30.2', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN02021,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '207', 'ER': '1', 'PR': '1', 'HER-2 neu': '1', 'YOB': '1960', 'Age (now)': '54', 'Age (BOD-OD)': '50', 'Race': 'Asian', 'Stage OB': '2b', 'BMI': '31.6', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00029,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '12', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1956', 'Age (now)': '58', 'Age (BOD-OD)': '50', 'Race': 'White', 'Stage OB': '2', 'BMI': '43.4', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00693,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '117', 'ER': '1', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1958', 'Age (now)': '56', 'Age (BOD-OD)': '50', 'Race': 'Other', 'Stage OB': '2', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00895,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '141', 'ER': '1', 'PR': '1', 'HER-2 neu': '1', 'YOB': '1959', 'Age (now)': '55', 'Age (BOD-OD)': '50', 'Race': 'White', 'Stage OB': '2', 'BMI': '32', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00375,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '46', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1958', 'Age (now)': '56', 'Age (BOD-OD)': '50', 'Race': 'Asian', 'Stage OB': '3', 'BMI': '21.4', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN01932,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '195', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1959', 'Age (now)': '55', 'Age (BOD-OD)': '50', 'Race': 'White', 'Stage OB': '3a', 'BMI': '38.9', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00033,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '20', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1955', 'Age (now)': '59', 'Age (BOD-OD)': '51', 'Race': 'White', 'Stage OB': '2', 'BMI': '25.1', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00505,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '86', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1957', 'Age (now)': '57', 'Age (BOD-OD)': '51', 'Race': 'White', 'Stage OB': '2', 'BMI': '34.9', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN01196,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '161', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1958', 'Age (now)': '56', 'Age (BOD-OD)': '51', 'Race': 'Asian', 'Stage OB': '2', 'BMI': '28.7', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN01410,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '173', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1958', 'Age (now)': '56', 'Age (BOD-OD)': '51', 'Race': 'White', 'Stage OB': '2', 'BMI': '29.4', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00469,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '74', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1957', 'Age (now)': '57', 'Age (BOD-OD)': '51', 'Race': 'White', 'Stage OB': '3', 'BMI': '28.3', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00030,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '14', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1954', 'Age (now)': '60', 'Age (BOD-OD)': '52', 'Race': 'White', 'Stage OB': '3', 'BMI': '33.8', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00339,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '40', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1955', 'Age (now)': '59', 'Age (BOD-OD)': '52', 'Race': 'Asian', 'Stage OB': '3', 'BMI': '20.8', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00861,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '132', 'ER': '-', 'PR': '1', 'HER-2 neu': '1', 'YOB': '1956', 'Age (now)': '58', 'Age (BOD-OD)': '53', 'Race': 'Asian', 'Stage OB': '2', 'BMI': '27.5', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00462,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '69', 'ER': '1', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1955', 'Age (now)': '59', 'Age (BOD-OD)': '53', 'Race': 'White', 'Stage OB': '3', 'BMI': '24.5', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN02249,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '219', 'ER': '-', 'PR': '1', 'HER-2 neu': '1', 'YOB': '1957', 'Age (now)': '57', 'Age (BOD-OD)': '53', 'Race': 'White', 'Stage OB': '3a', 'BMI': '31.8', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN02675,-,"{'Diagnosis': 'Breast cancer', 'Stage': '4'}","{'Sub-group': '-', 'Clinical_Parameters': '52', 'ER': '-', 'PR': '-', 'HER-2 neu': 'EQUIVOCAL FOR OVEREXPRESSION (SCORE 2)', 'YOB': '1957', 'Age (now)': '57', 'Age (BOD-OD)': '53', 'Race': 'Oriental', 'Stage OB': '4', 'BMI': '39.8', 'Year of Sample Collection': '2010', 'Prog/Relapse by 9/7/11': '-'}"
PN00482,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '80', 'ER': '1', 'PR': '1', 'HER-2 neu': '1', 'YOB': '1954', 'Age (now)': '60', 'Age (BOD-OD)': '54', 'Race': 'Asian', 'Stage OB': '2', 'BMI': '24.1', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00271,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '34', 'ER': '1', 'PR': '1', 'HER-2 neu': '1', 'YOB': '1953', 'Age (now)': '61', 'Age (BOD-OD)': '54', 'Race': 'Black', 'Stage OB': '3-Feb', 'BMI': '37.4', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00436,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '60', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1954', 'Age (now)': '60', 'Age (BOD-OD)': '54', 'Race': 'Asian', 'Stage OB': '3', 'BMI': '36', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03213,-,"{'Diagnosis': 'Breast cancer', 'Stage': '4'}","{'Sub-group': '-', 'Clinical_Parameters': '29', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1956', 'Age (now)': '58', 'Age (BOD-OD)': '54', 'Race': 'White', 'Stage OB': '4', 'BMI': '50', 'Year of Sample Collection': '2010', 'Prog/Relapse by 9/7/11': '40581'}"
PN03702,-,"{'Diagnosis': 'Breast cancer', 'Stage': '4'}","{'Sub-group': '-', 'Clinical_Parameters': '199', 'ER': '1', 'PR': '1', 'HER-2 neu': '1', 'YOB': '1956', 'Age (now)': '58', 'Age (BOD-OD)': '54', 'Race': 'Oriental', 'Stage OB': '4', 'BMI': '22.7', 'Year of Sample Collection': '2010', 'Prog/Relapse by 9/7/11': '40630'}"
PN00427,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '57', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1953', 'Age (now)': '61', 'Age (BOD-OD)': '55', 'Race': 'White', 'Stage OB': '2', 'BMI': 'NA', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN01976,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '198', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1955', 'Age (now)': '59', 'Age (BOD-OD)': '55', 'Race': 'White', 'Stage OB': '3c', 'BMI': '33.6', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN03568,-,"{'Diagnosis': 'Breast cancer', 'Stage': '4'}","{'Sub-group': '-', 'Clinical_Parameters': '130', 'ER': '1', 'PR': '1', 'HER-2 neu': 'unknown', 'YOB': '1955', 'Age (now)': '59', 'Age (BOD-OD)': '55', 'Race': 'White', 'Stage OB': '4', 'BMI': '21.4', 'Year of Sample Collection': '2010', 'Prog/Relapse by 9/7/11': '-'}"
PN00737,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '120', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1955', 'Age (now)': '59', 'Age (BOD-OD)': '55', 'Race': 'Black', 'Stage OB': '2b', 'BMI': '35.4', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN02528,-,"{'Diagnosis': 'Breast cancer', 'Stage': '1'}","{'Sub-group': '-', 'Clinical_Parameters': '110', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1953', 'Age (now)': '61', 'Age (BOD-OD)': '56', 'Race': 'Other', 'Stage OB': '1', 'BMI': '24.4', 'Year of Sample Collection': '2009', 'Prog/Relapse by 9/7/11': 'N'}"
PN02261,-,"{'Diagnosis': 'Breast cancer', 'Stage': '1'}","{'Sub-group': '-', 'Clinical_Parameters': '193', 'ER': '-', 'PR': '-', 'HER-2 neu': 'equivocal (score 2+)', 'YOB': '1952', 'Age (now)': '62', 'Age (BOD-OD)': '57', 'Race': 'White', 'Stage OB': '1', 'BMI': '27.5', 'Year of Sample Collection': '2009', 'Prog/Relapse by 9/7/11': 'N'}"
PN02773,-,"{'Diagnosis': 'Breast cancer', 'Stage': '1'}","{'Sub-group': '-', 'Clinical_Parameters': '170', 'ER': '1', 'PR': '1', 'HER-2 neu': 'equivocal (score 2)', 'YOB': '1953', 'Age (now)': '61', 'Age (BOD-OD)': '57', 'Race': 'White', 'Stage OB': '1', 'BMI': '35.9', 'Year of Sample Collection': '2010', 'Prog/Relapse by 9/7/11': 'N'}"
PN00667,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '115', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1951', 'Age (now)': '63', 'Age (BOD-OD)': '57', 'Race': 'White', 'Stage OB': '3', 'BMI': '47.1', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN01262,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '163', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1952', 'Age (now)': '62', 'Age (BOD-OD)': '57', 'Race': 'White', 'Stage OB': '3', 'BMI': '27.7', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN03701,-,"{'Diagnosis': 'Breast cancer', 'Stage': '4'}","{'Sub-group': '-', 'Clinical_Parameters': '167', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1953', 'Age (now)': '61', 'Age (BOD-OD)': '57', 'Race': 'White', 'Stage OB': '4', 'BMI': '38', 'Year of Sample Collection': '2010', 'Prog/Relapse by 9/7/11': '-'}"
PN00002,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '2', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1948', 'Age (now)': '66', 'Age (BOD-OD)': '58', 'Race': 'Native American', 'Stage OB': '3', 'BMI': '50.4', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN00941,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '150', 'ER': '1', 'PR': '1', 'HER-2 neu': '1', 'YOB': '1950', 'Age (now)': '64', 'Age (BOD-OD)': '59', 'Race': 'White', 'Stage OB': '3', 'BMI': '55', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN02007,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '201', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1951', 'Age (now)': '63', 'Age (BOD-OD)': '59', 'Race': 'White', 'Stage OB': '3b', 'BMI': '31.1', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN03629,-,"{'Diagnosis': 'Breast cancer', 'Stage': '4'}","{'Sub-group': '-', 'Clinical_Parameters': '222', 'ER': '1', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1951', 'Age (now)': '63', 'Age (BOD-OD)': '59', 'Race': 'White', 'Stage OB': '4', 'BMI': '26.8', 'Year of Sample Collection': '2010', 'Prog/Relapse by 9/7/11': '-'}"
PN03756,-,"{'Diagnosis': 'Breast cancer', 'Stage': '4'}","{'Sub-group': '-', 'Clinical_Parameters': '38', 'ER': '1', 'PR': '1', 'HER-2 neu': 'unknown', 'YOB': '1951', 'Age (now)': '63', 'Age (BOD-OD)': '59', 'Race': 'White', 'Stage OB': '4', 'BMI': '23.4', 'Year of Sample Collection': '2010', 'Prog/Relapse by 9/7/11': '-'}"
PN00025,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '5', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1947', 'Age (now)': '67', 'Age (BOD-OD)': '59', 'Race': 'White', 'Stage OB': '2', 'BMI': 'NA', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN02453,-,"{'Diagnosis': 'Breast cancer', 'Stage': '1'}","{'Sub-group': '-', 'Clinical_Parameters': '156', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1949', 'Age (now)': '65', 'Age (BOD-OD)': '60', 'Race': 'White', 'Stage OB': '1', 'BMI': '31.6', 'Year of Sample Collection': '2009', 'Prog/Relapse by 9/7/11': 'N'}"
PN01055-0001,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '158', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '1949', 'Age (now)': '65', 'Age (BOD-OD)': '60', 'Race': 'White', 'Stage OB': '3', 'BMI': '24.5', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN03460,-,"{'Diagnosis': 'Breast cancer', 'Stage': '4'}","{'Sub-group': '-', 'Clinical_Parameters': '176', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1950', 'Age (now)': '64', 'Age (BOD-OD)': '60', 'Race': 'White', 'Stage OB': '4', 'BMI': '29.8', 'Year of Sample Collection': '2010', 'Prog/Relapse by 9/7/11': '40499'}"
PN03630,-,"{'Diagnosis': 'Breast cancer', 'Stage': '4'}","{'Sub-group': '-', 'Clinical_Parameters': '144', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1950', 'Age (now)': '64', 'Age (BOD-OD)': '60', 'Race': 'White', 'Stage OB': '4', 'BMI': '27.7', 'Year of Sample Collection': '2010', 'Prog/Relapse by 9/7/11': '-'}"
PN02619,-,"{'Diagnosis': 'Breast cancer', 'Stage': '1'}","{'Sub-group': '-', 'Clinical_Parameters': '18', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1949', 'Age (now)': '65', 'Age (BOD-OD)': '61', 'Race': 'White', 'Stage OB': '1', 'BMI': 'NA', 'Year of Sample Collection': '2010', 'Prog/Relapse by 9/7/11': 'No Follow Up'}"
PN00373,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '44', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1947', 'Age (now)': '67', 'Age (BOD-OD)': '61', 'Race': 'White', 'Stage OB': '2', 'BMI': '46.3', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN00539,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '106', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1947', 'Age (now)': '67', 'Age (BOD-OD)': '61', 'Race': 'White', 'Stage OB': '2b', 'BMI': '44.9', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN00848,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '129', 'ER': '1', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1948', 'Age (now)': '66', 'Age (BOD-OD)': '61', 'Race': 'White', 'Stage OB': '2', 'BMI': '45.5', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN00028,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '11', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1945', 'Age (now)': '69', 'Age (BOD-OD)': '61', 'Race': 'White', 'Stage OB': '3', 'BMI': '39.5', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN00082,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '31', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1946', 'Age (now)': '68', 'Age (BOD-OD)': '61', 'Race': '-', 'Stage OB': '3c', 'BMI': 'NA', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
PN02118,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '210', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '1949', 'Age (now)': '65', 'Age (BOD-OD)': '61', 'Race': 'Asian', 'Stage OB': '2a', 'BMI': 'NA', 'Year of Sample Collection': '-', 'Prog/Relapse by 9/7/11': '-'}"
